datetime,low,high,open,close,volumefrom,volumeto
03/12/2017 08:00,465.99,468.51,465.99,467.66,2481.47,1160119.08
03/12/2017 09:00,466.87,468.65,467.66,467.7,1414.4,661720.74
03/12/2017 10:00,467.2,468.35,467.7,467.2,1697.58,794527.38
03/12/2017 11:00,467.09,474.96,467.2,474.94,8089.75,3814495.82
03/12/2017 12:00,472.6,477.5,474.94,477.45,7652.47,3636860.18
03/12/2017 13:00,471.61,478,477.45,477.89,5879.42,2800660.68
03/12/2017 14:00,473.16,477.96,477.89,476.96,4999.57,2379435.35
03/12/2017 15:00,475.3,479.77,476.96,478.49,7684.05,3675653.63
03/12/2017 16:00,477,481.78,478.49,477.02,8067.32,3868954.82
03/12/2017 17:00,477.02,480.49,477.02,479.02,4595.03,2201237.89
03/12/2017 18:00,478.25,479.98,479.02,479.98,3857.34,1849359.72
03/12/2017 19:00,479.97,482,479.98,481,4943.02,2376786.41
03/12/2017 20:00,465.93,483.5,481,468.63,19220.2,9098414.45
03/12/2017 21:00,455,471.5,468.63,461.2,23050.04,10664909.89
03/12/2017 22:00,450,466.9,461.2,465.5,18864.85,8659569.68
03/12/2017 23:00,461.5,467.97,465.5,464.76,7205.33,3348202.8
04/12/2017 00:00,461.97,468,464.76,461.99,7109.31,3311326.6
04/12/2017 01:00,461.99,466,461.99,465.52,4477.66,2082319.14
04/12/2017 02:00,458.78,465.97,465.52,459.99,6429.77,2969327.08
04/12/2017 03:00,459.99,464,459.99,464,3953.19,1829962.42
04/12/2017 04:00,463.99,466.9,464,465,4300.35,1999619.89
04/12/2017 05:00,460.49,465.96,465,464.94,4392.4,2038813.59
04/12/2017 06:00,464.3,466.81,464.94,464.99,4090.23,1904168.47
04/12/2017 07:00,464.3,469.97,464.99,469.95,2786.33,1301592.05
04/12/2017 08:00,467.57,471.33,469.95,471.31,2290.68,1076639.46
04/12/2017 09:00,465.03,473,471.31,467.29,2579.15,1214059.02
04/12/2017 10:00,461.52,467.3,467.29,463,3650.58,1690909.52
04/12/2017 11:00,458.9,465.5,463,459.25,4506.26,2083171.11
04/12/2017 12:00,457.45,462.98,459.25,459.03,4405.35,2023387.4
04/12/2017 13:00,449.4,463,459.03,460.78,13494.87,6135549.9
04/12/2017 14:00,457.07,466.43,460.78,465,4765.98,2205607.85
04/12/2017 15:00,459.83,465.11,465,464.55,5632,2604821.59
04/12/2017 16:00,459.29,464.68,464.55,460,4809.2,2218375.49
04/12/2017 17:00,459.51,463.02,460,461.43,4945.46,2283164.49
04/12/2017 18:00,455.33,461.63,461.43,460.39,9827.45,4505217.9
04/12/2017 19:00,458.67,461.91,460.39,461.49,6593.92,3034335.02
04/12/2017 20:00,459.52,466.1,461.49,459.52,8336.16,3867604.31
04/12/2017 21:00,459.52,466.19,459.52,464.1,6505.29,3017786.38
04/12/2017 22:00,464.02,466.72,464.1,465.52,5197.49,2419278.52
04/12/2017 23:00,464.58,468.22,465.52,468.22,5892.9,2748537.91
05/12/2017 00:00,465.51,468.8,468.22,467.66,4375.32,2046327.26
05/12/2017 01:00,466.21,467.99,467.66,467.47,3825.69,1788028.79
05/12/2017 02:00,464.2,470,467.47,465.65,6558.66,3067585.46
05/12/2017 03:00,464.8,467.37,465.65,466.44,4817.66,2245262.3
05/12/2017 04:00,464.22,467.39,466.44,464.23,6140.4,2858725.35
05/12/2017 05:00,464.22,465.99,464.23,465.26,3154.95,1467534.21
05/12/2017 06:00,459.39,466.25,465.26,464.92,4219.51,1961344.84
05/12/2017 07:00,464.55,466.02,464.92,465.71,4242.84,1974481.55
05/12/2017 08:00,465.21,468.5,465.71,468,2316.65,1081966.69
05/12/2017 09:00,463,468.01,468,463.61,3583.09,1673256.99
05/12/2017 10:00,462.18,464.69,463.61,462.66,3504.17,1623510.14
05/12/2017 11:00,460.1,463.5,462.66,462,4043.87,1869239.19
05/12/2017 12:00,458,462.01,462,458.51,5879.7,2705792.48
05/12/2017 13:00,458.46,462,458.51,460.04,6907.86,3179557.27
05/12/2017 14:00,459.44,462,460.04,461.01,7487.1,3450790.73
05/12/2017 15:00,459,461.62,461.01,460.85,7727.48,3559589.82
05/12/2017 16:00,451.56,460.85,460.85,457.54,11845.2,5418382.41
05/12/2017 17:00,456.1,461.84,457.54,461.65,7183.15,3299988.77
05/12/2017 18:00,461.3,464.1,461.65,463.85,4856.35,2249969.28
05/12/2017 19:00,460.59,464,463.85,461.17,5479.77,2532955.47
05/12/2017 20:00,457.35,461.7,461.17,461.7,6882.06,3167361.58
